"notation","title","description","id","title_en","description_en"
"E ","Erkenntnisgewinnung","Beobachten, Vergleichen, Experimentieren, Modelle nutzen und Arbeitstechniken anwenden. Die Schülerinnen und Schüler …","y5p",,
"E 1","mikroskopieren Zellen und stellen sie in einer Zeichnung dar,","","c2t",,
"E 2","beschreiben und vergleichen Anatomie und Morphologie von Organismen,","","s9d",,
"E 3","analysieren die stammesgeschichtliche Verwandtschaft bzw. ökologisch bedingte Ähnlichkeit bei Organismen durch kriteriengeleitetes Vergleichen,","","u5u",,
"E 4","ermitteln mithilfe geeigneter Bestimmungsliteratur im Ökosystem häufig vorkommende Arten,","","q5h",,
"E 5","führen Untersuchungen mit geeigneten qualifizierenden oder quantifizierenden Verfahren durch,","","r6g",,
"E 6","planen einfache Experimente, führen die Experimente durch und/oder werten sie aus,","","a3u",,
"E 7","wenden Schritte aus dem experimentellen Weg der Erkenntnisgewinnung zur Erklärung an,","","g6h",,
"E 8","erörtern Tragweite und Grenzen von Untersuchungsanlage, -schritten und -ergebnissen,","","t2t",,
"E 9","wenden Modelle zur Veranschaulichung von Struktur und Funktion an,","","s2z",,
"E 10","analysieren Wechselwirkungen mit Hilfe von Modellen,","","b6y",,
"E 11","beschreiben Speicherung und Weitergabe genetischer Information auch unter Anwendung geeigneter Modelle,","","c2e",,
"E 12","erklären dynamische Prozesse in Ökosystemen mithilfe von Modellvorstellungen,","","a9f",,
"E 13","beurteilen die Aussagekraft eines Modells.","","u7a",,
"K "," Kommunikation","Informationen sach- und fachbezogen erschließen und austauschen. Die Schülerinnen und Schüler …","u2x",,
"K 1","kommunizieren und argumentieren in verschiedenen Sozialformen,","","y6r",,
"K 2","beschreiben und erklären Originale oder naturgetreue Abbildungen mit Zeichnungen oder idealtypischen Bildern,","","a4c",,
"K 3","veranschaulichen Daten messbarer Größen zu Systemen, Struktur und Funktion sowie Entwicklung angemessen mit sprachlichen, mathematischen oder bildlichen Gestaltungsmitteln,","","g6r",,
"K 4","werten Informationen zu biologischen Fragestellungen aus verschiedenen Quellen zielgerichtet aus und verarbeiten diese auch mit Hilfe verschiedener Techniken und Methoden adressaten- und situationsgerecht,","","z7g",,
"K 5","stellen biologische Systeme, z. B. Organismen, sachgerecht, situationsgerecht und adressatengerecht dar,","","c5u",,
"K 6","stellen Ergebnisse und Methoden biologischer Untersuchung dar und argumentieren damit,","","a5e",,
"K 7","referieren zu gesellschafts- oder alltagsrelevanten biologischen Themen,","","s7c",,
"K 8","erklären biologische Phänomene und setzen Alltagsvorstellungen dazu in Beziehung,","","x3p",,
"K 9","beschreiben und erklären den Bedeutungsgehalt von fachsprachlichen bzw. alltagssprachlichen Texten und von Bildern in strukturierter sprachlicher Darstellung,","","y4a",,
"K 10","wenden idealtypische Darstellungen, Schemazeichnungen, Diagramme und Symbolsprache auf komplexe Sachverhalte an.","","z4q",,
"B ","Bewertung","""""Biologische Sachverhalte in verschiedenen Kontexten erkennen und bewerten.\n\nDie Schülerinnen und Schüler …""""","r9d",,
"B 1","unterscheiden zwischen beschreibenden (naturwissenschaftlichen) und normativen (ethischen) Aussagen,","","c3r",,
"B 2","beurteilen verschiedene Maßnahmen und Verhaltensweisen zur Erhaltung der eigenen Gesundheit und zur sozialen Verantwortung,","","v7v",,
"B 3","beschreiben und beurteilen Erkenntnisse und Methoden in ausgewählten aktuellen Bezügen wie zu Medizin, Biotechnik und Gentechnik, und zwar unter Berücksichtigung gesellschaftlich verhandelbarer Werte,","","x7e",,
"B 4","beschreiben und beurteilen die Haltung von Heim- und Nutztieren,","","t7c",,
"B 5","beschreiben und beurteilen die Auswirkungen menschlicher Eingriffe in einem Ökosystem,","","g5q",,
"B 6","bewerten die Beeinflussung globaler Kreisläufe und Stoffströme unter dem Aspekt der nachhaltigen Entwicklung,","","v7y",,
"B 7","erörtern Handlungsoptionen einer umwelt- und naturverträglichen Teilhabe im Sinne der Nachhaltigkeit.","","s6p",,
